Epsilon1,Norm1,Lap var1,ClipLap var1,Epsilon2,Norm2,Lap var2,ClipLap var2,Epsilon3,Norm3,Lap var3,ClipLap var3,Epsilon4,Norm4,Lap var4,ClipLap var4,Epsilon5,Norm5,Lap var5,ClipLap var5,Epsilon6,Norm6,Lap var6,ClipLap var6
0.01,0.01,7.957324773644920,6.61497944338119E-05,0.05,0.01,0.3206966301147560,6.555053676962E-05,0.1,0.01,0.07880259393146590,6.46168746309974E-05,0.3,0.01,0.008915423015836030,6.18344586721905E-05,0.5,0.01,0.003218578950076010,5.84572114008099E-05,1.0,0.01,0.000800521871574604,5.18600232435512E-05
0.01,0.05,199.86454124924200,0.0008678044219176580,0.05,0.05,7.937339163665400,0.0008574851643778610,0.1,0.05,1.9966708057826800,0.0008574351922588760,0.3,0.05,0.22149421476588300,0.0008350912085606400,0.5,0.05,0.08052165878365910,0.0008067448697220520,1.0,0.05,0.019922488350574400,0.0007491395803215120
0.01,0.1,798.246795632408,0.003354924651588650,0.05,0.1,31.888655944140600,0.00334362203838651,0.1,0.1,7.970198704140310,0.0033300768692366600,0.3,0.1,0.882873082130789,0.0032304198216395300,0.5,0.1,0.3212106877896010,0.003145392674115880,1.0,0.1,0.07846733267089860,0.002955845534048310
0.01,0.25,4989.158956023590,0.020857225134830700,0.05,0.25,200.83857380274300,0.020718431120651000,0.1,0.25,49.992906936824600,0.02079228177859730,0.3,0.25,5.556600690956310,0.020019225630995800,0.5,0.25,1.9829595508729400,0.019540401409162500,1.0,0.25,0.5014228361758860,0.018307081438695700
0.01,0.5,20041.184821986400,0.08300009221293000,0.05,0.5,802.3620688898700,0.08269573259149420,0.1,0.5,200.08905305749300,0.08200336663925500,0.3,0.5,22.38282714055410,0.08040230737834430,0.5,0.5,8.004540101578190,0.0781688319052983,1.0,0.5,1.9890857059571100,0.07304086506250390
0.01,0.7,39033.37600519110,0.16212309258461200,0.05,0.7,1573.516041107000,0.16242716684205200,0.1,0.7,392.7785366429240,0.16204305317387100,0.3,0.7,44.07756231307540,0.15769599575399500,0.5,0.7,15.70347738100860,0.15309445642260300,1.0,0.7,3.915255252897910,0.14293050531085900
0.01,1.0,80324.98035012120,0.33419305296010000,0.05,1.0,3215.9919273190800,0.3302950509446030,0.1,1.0,807.1664272518930,0.32797733776146700,0.3,1.0,90.56956316183850,0.3219690394552940,0.5,1.0,31.954641466907400,0.31239391227045400,1.0,1.0,8.020645078589860,0.29152710474504900
