N,0.05~0.1,0.05~0.3,0.05~0.5,0.05~0.7,0.05~1.0
1000,0.03203546394961880,0.07617701767718830,0.121618323134325,0.16648365087587800,0.23335499288457000
2000,0.022523345494144400,0.05412253681516280,0.0875173645765804,0.12060014687999600,0.17435494380841600
5000,0.014296932226688000,0.03431432420851330,0.056748572264935,0.07809785244962070,0.11215893166052400
10000,0.010121855408290900,0.024609674195145000,0.0397734137829209,0.05579463158356880,0.08151675371715350
20000,0.007155094020628670,0.017421918567611700,0.0283144017480914,0.03972348807744790,0.05762545749889790
50000,0.004532954324929640,0.010998009369195900,0.0179654963701897,0.025337088426867800,0.036948384053403
100000,0.00320303826112461,0.00778757859538234,0.0127426686939073,0.0179916517270821,0.026371674967053600
