Epsilon1,Norm1,Lap var1,ClipLap var1,Epsilon2,Norm2,Lap var2,ClipLap var2,Epsilon3,Norm3,Lap var3,ClipLap var3,Epsilon4,Norm4,Lap var4,ClipLap var4,Epsilon5,Norm5,Lap var5,ClipLap var5,Epsilon6,Norm6,Lap var6,ClipLap var6
0.01,0.01,250.33014143065800,0.7192683384664260,0.05,0.01,49.784982405419000,0.7178481117932080,0.1,0.01,25.144279308818500,0.7130395616485530,0.3,0.01,8.350363698224500,0.6954815907410550,0.5,0.01,5.030044314500030,0.6806180297190110,1.0,0.01,2.508619855787140,0.6371407242248050
0.01,0.05,1256.184228040770,2.6050776392588700,0.05,0.05,250.70956542498500,2.593462500603330,0.1,0.05,125.21296871708400,2.5913063124996400,0.3,0.05,41.66710331221170,2.5567866121651200,0.5,0.05,25.03679712211420,2.518655494016330,1.0,0.05,12.534178106258900,2.4458290528171600
0.01,0.1,2500.649828371290,5.15069958543394,0.05,0.1,498.74442763126200,5.127798139049260,0.1,0.1,247.73858353875600,5.105337993354630,0.3,0.1,83.22746889112120,5.038483557435880,0.5,0.1,50.341391193529600,4.956176571136160,1.0,0.1,25.05480056634620,4.809466531846140
0.01,0.25,6297.241397389160,12.79311252240390,0.05,0.25,1251.9409958847800,12.75764284916730,0.1,0.25,628.3124946304310,12.734148186639200,0.3,0.25,211.92620890526600,12.56988805028870,0.5,0.25,125.3380950064790,12.392105786753000,1.0,0.25,62.785670258054800,11.985940941248800
0.01,0.5,12497.794799741100,25.57180226162880,0.05,0.5,2517.7134271008900,25.547328866081400,0.1,0.5,1250.1204944249100,25.486351708980700,0.3,0.5,421.4773787240690,25.186988321292200,0.5,0.5,250.10636732578800,24.79903879254480,1.0,0.5,124.44023272916400,24.020021987413800
0.01,0.7,17422.45016478380,35.75581191531560,0.05,0.7,3520.6568487176200,35.585665032257900,0.1,0.7,1747.5995698957300,35.60990568171520,0.3,0.7,586.533713783556,35.08882595829510,0.5,0.7,350.4297654720720,34.68639719082150,1.0,0.7,175.7925903876330,33.52099670665170
0.01,1.0,25155.84766229400,51.24128942802710,0.05,1.0,4983.060548068140,51.0766737864339,0.1,1.0,2512.0806875001000,50.95303523659630,0.3,1.0,839.8024337674220,50.254071320586000,0.5,1.0,500.9772034052250,49.619382442714200,1.0,1.0,249.42369194472600,47.92910746809310
